,notes
72,"[[11, 9, 8, 7, 5, 4, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1]]"
73,"[[12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [10, 9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [12, 9, 8, 7, 5, 3, 1]]"
74,"[[12, 11, 9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1]]"
75,"[[9, 8, 7, 5, 3, 1], [11, 10, 9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 1], [9, 8, 7, 7, 5, 1], [9, 8, 7, 5, 4, 1], [9, 8, 7, 5, 4, 3, 1]]"
76,"[[9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 5, 4, 3, 1], [9, 5, 3, 1], [9, 5, 3, 2, 1]]"
77,"[[9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 9, 8, 5, 4, 3, 1], [12, 11, 9, 5, 4, 1]]"
78,"[[12, 11, 9, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [10, 9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1]]"
79,"[[11, 9, 7, 5, 4, 3, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 3, 1], [9, 7, 5, 3, 1]]"
80,"[[12, 11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1]]"
81,"[[9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1, 1, 1], [9, 8, 7, 5, 4, 3, 1, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 4, 3, 2, 1]]"
82,"[[11, 9, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1]]"
83,"[[9, 7, 6, 5, 3, 1], [9, 7, 6, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 1], [9, 8, 5, 4, 1]]"
84,"[[9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 3, 1], [12, 11, 9, 8, 7, 6, 5, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1]]"
85,"[[9, 8, 7, 6, 5, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 5, 4, 3, 1]]"
86,"[[9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [10, 9, 8, 7, 6, 5, 4, 3, 2, 1], [10, 9, 8, 7, 5, 4, 3, 1], [10, 9, 8, 7, 6, 5, 4, 3, 1], [10, 9, 8, 7, 5, 3, 1, 1], [9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 6, 5, 3, 1]]"
87,"[[11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 3, 1], [12, 11, 9, 8, 7, 6, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 7, 7, 5, 3, 2, 1], [12, 11, 9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1]]"
88,"[[9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 1], [10, 9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [11, 10, 9, 8, 7, 5, 4, 3, 1]]"
89,"[[9, 8, 7, 5, 1], [11, 9, 8, 7, 5, 1], [11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 3, 2, 1], [11, 9, 8, 7, 5, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 5, 4, 3, 2, 1]]"
90,"[[12, 11, 9, 7, 6, 5, 3, 1], [12, 11, 9, 8, 7, 6, 5, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 6, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1]]"
91,"[[9, 9, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 3, 2, 1], [12, 11, 11, 9, 7, 6, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 3, 1], [12, 11, 9, 8, 7, 6, 5, 1], [12, 11, 9, 8, 7, 5, 4, 1], [11, 9, 8, 7, 5, 4, 3, 1]]"
92,"[[12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 2, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 1]]"
93,"[[12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 10, 9, 7, 5, 3, 1], [12, 11, 9, 7, 5, 3, 2, 1], [9, 7, 5, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [11, 9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1]]"
94,"[[11, 9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [10, 9, 8, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 5, 4, 3, 2, 1], [12, 11, 9, 5, 4, 3, 2, 1], [12, 11, 10, 9, 5, 4, 3, 1]]"
95,"[[9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 3, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1]]"
96,"[[11, 10, 9, 8, 7, 6, 5, 4, 3, 1], [11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 1], [11, 10, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1]]"
97,"[[12, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1]]"
98,"[[12, 11, 9, 8, 7, 5, 1], [12, 11, 9, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 1, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 5, 3, 1], [11, 9, 8, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1]]"
99,"[[9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 1], [9, 5, 4, 1]]"
100,"[[11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 3, 1], [9, 7, 6, 5, 3, 1], [9, 8, 7, 6, 5, 3, 1], [10, 9, 8, 7, 6, 5, 3, 2, 1]]"
101,"[[11, 10, 9, 5, 3, 2, 1, 1], [10, 9, 5, 3, 2, 1], [10, 9, 5, 4, 3, 2, 1], [11, 10, 9, 5, 4, 3, 1], [10, 9, 5, 4, 3, 2, 1], [11, 10, 9, 5, 4, 3, 2, 1], [12, 11, 10, 9, 5, 4, 3, 1, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 1]]"
102,"[[12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 6, 5, 1], [11, 9, 8, 7, 5, 1], [11, 9, 8, 5, 1], [11, 9, 5, 1], [12, 11, 9, 5, 1], [12, 11, 9, 5, 1], [11, 9, 5, 1]]"
103,"[[9, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 7, 5, 3, 1], [11, 10, 9, 7, 6, 5, 3, 1], [11, 9, 7, 6, 5, 3, 1], [9, 7, 6, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1]]"
104,"[[12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [10, 9, 7, 6, 5, 5, 4, 3, 1]]"
105,"[[9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [10, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1]]"
106,"[[10, 9, 5, 4, 3, 1, 1], [9, 5, 4, 3, 1], [9, 5, 3, 1], [9, 5, 3, 1], [9, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1]]"
107,"[[12, 11, 9, 8, 7, 6, 5, 3, 1], [12, 11, 9, 8, 7, 6, 5, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 1], [11, 10, 9, 8, 7, 5, 4, 3, 1, 1]]"
108,"[[9, 7, 6, 5, 4, 3, 2, 1], [11, 9, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 3, 1], [9, 7, 6, 5, 4, 3, 2, 1], [9, 7, 6, 5, 5, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 10, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1]]"
109,"[[9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [12, 11, 9, 5, 4, 3, 2, 1], [12, 11, 10, 9, 5, 3, 2, 1], [11, 9, 5, 3, 2, 1], [9, 5, 3, 2, 1]]"
110,"[[9, 7, 6, 5, 4, 3, 1], [9, 7, 5, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 8, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1], [9, 8, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1]]"
111,"[[9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1]]"
112,"[[11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1]]"
113,"[[11, 9, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1]]"
114,"[[9, 8, 7, 5, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 1], [11, 9, 8, 7, 5, 1], [12, 11, 9, 8, 7, 5, 1], [12, 11, 9, 8, 7, 6, 5, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 3, 1]]"
115,"[[9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [10, 9, 8, 7, 6, 5, 4, 3, 1], [10, 9, 7, 5, 4, 3, 1]]"
116,"[[11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 11, 9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 1], [9, 8, 7, 5, 3, 1]]"
117,"[[11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1]]"
118,"[[11, 9, 7, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 1], [9, 5, 4, 1], [10, 9, 5, 4, 1], [10, 9, 5, 1], [11, 10, 9, 5, 1], [11, 9, 5, 1]]"
119,"[[9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1]]"
120,"[[12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 3, 1]]"
121,"[[11, 10, 9, 7, 6, 5, 3, 2, 1], [11, 10, 9, 7, 6, 5, 4, 3, 1], [10, 9, 7, 5, 4, 3, 1], [11, 10, 9, 8, 7, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1]]"
122,"[[11, 9, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1, 1], [11, 10, 9, 8, 7, 6, 5, 4, 3, 1], [11, 10, 9, 7, 6, 5, 4, 3, 1], [11, 10, 9, 7, 6, 5, 4, 3, 1], [11, 10, 9, 7, 5, 4, 3, 2, 1], [10, 9, 8, 7, 5, 4, 3, 2, 1]]"
123,"[[9, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 4, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [10, 9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 6, 5, 1]]"
124,"[[9, 7, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 5, 3, 2, 1], [10, 9, 8, 7, 5, 3, 2, 1]]"
125,"[[9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1, 1], [9, 7, 5, 3, 1], [9, 7, 5, 1], [9, 7, 5, 1], [9, 7, 5, 1]]"
126,"[[9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1]]"
127,"[[9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1]]"
128,"[[9, 8, 7, 6, 5, 4, 3, 1], [10, 9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 3, 2, 1], [11, 9, 8, 7, 5, 1], [9, 8, 7, 5, 1], [9, 8, 7, 5, 1]]"
129,"[[11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 10, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1, 1], [11, 10, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 1]]"
130,"[[12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 2, 1], [11, 9, 5, 3, 2, 1], [9, 5, 3, 2, 1], [9, 5, 4, 3, 2, 1]]"
131,"[[12, 11, 10, 9, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 10, 9, 7, 5, 3, 2, 1], [12, 11, 10, 9, 5, 4, 3, 2, 1], [12, 9, 5, 4, 3, 2, 1], [12, 11, 9, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 1]]"
132,"[[9, 8, 7, 5, 4, 3, 1, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 5, 3, 2, 1]]"
133,"[[9, 9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 6, 5, 3, 1], [11, 9, 7, 6, 5, 1], [11, 9, 7, 6, 5, 1], [12, 11, 9, 7, 6, 5, 1], [12, 11, 9, 8, 7, 6, 5, 4, 1]]"
134,"[[9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1]]"
135,"[[11, 9, 8, 7, 6, 5, 3, 2, 1], [11, 9, 8, 7, 6, 5, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1]]"
136,"[[9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 10, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1]]"
137,"[[9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 1]]"
138,"[[9, 5, 4, 3, 1], [9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 1], [9, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1]]"
139,"[[12, 11, 9, 8, 7, 6, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 3, 1], [12, 11, 9, 7, 6, 5, 3, 1], [11, 9, 7, 6, 5, 1], [11, 9, 8, 7, 6, 5, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 1]]"
140,"[[12, 11, 9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 6, 5, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 1], [11, 10, 9, 8, 7, 5, 1], [12, 11, 10, 9, 8, 7, 6, 5, 1]]"
141,"[[12, 11, 9, 5, 4, 3, 1], [12, 11, 10, 9, 5, 3, 1], [12, 11, 9, 7, 5, 3, 1], [12, 11, 10, 9, 7, 5, 1], [12, 11, 10, 9, 5, 1], [11, 10, 9, 5, 1], [11, 10, 9, 5, 1], [10, 9, 5, 1]]"
142,"[[9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 6, 5, 4, 3, 2, 1]]"
143,"[[12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1]]"
